model_name,overall_mAP@0.5,overall_mAP@0.75,overall_mAP,Hardhat_mAP@0.5,Hardhat_mAP@0.75,Mask_mAP@0.5,Mask_mAP@0.75,NO-Hardhat_mAP@0.5,NO-Hardhat_mAP@0.75,NO-Mask_mAP@0.5,NO-Mask_mAP@0.75,NO-Safety Vest_mAP@0.5,NO-Safety Vest_mAP@0.75,Person_mAP@0.5,Person_mAP@0.75,Safety Cone_mAP@0.5,Safety Cone_mAP@0.75,Safety Vest_mAP@0.5,Safety Vest_mAP@0.75,machinery_mAP@0.5,machinery_mAP@0.75,vehicle_mAP@0.5,vehicle_mAP@0.75
best_yolov8s,0.8292,0.6651,0.5985,0.5554,0.7081,0.7155,0.8747,0.5194,0.6514,0.449,0.5651,0.6219,0.7753,0.703,0.8237,0.3988,0.4769,0.5987,0.7158,0.832,0.9334,0.5915,0.7024
best_yolov8s_cp30,0.8329,0.6676,0.6041,0.5551,0.7007,0.7358,0.8904,0.5145,0.6161,0.4491,0.5701,0.626,0.7743,0.7031,0.8253,0.3995,0.4748,0.6026,0.7158,0.8359,0.9333,0.6193,0.7353
best_yolov8s_tile,0.8295,0.668,0.6014,0.5514,0.7093,0.7363,0.8873,0.5237,0.6556,0.4558,0.5791,0.6166,0.7675,0.7042,0.8257,0.3987,0.4889,0.5958,0.7076,0.8271,0.9258,0.6049,0.7135
best_yolov8s_tile_cp30,0.8295,0.668,0.6014,0.5514,0.7093,0.7363,0.8873,0.5237,0.6556,0.4558,0.5791,0.6166,0.7675,0.7042,0.8257,0.3987,0.4889,0.5958,0.7076,0.8271,0.9258,0.6049,0.7135
best_yolov8n,0.7601,0.5716,0.5175,0.471,0.6252,0.6553,0.823,0.4591,0.5998,0.3428,0.4153,0.5184,0.6743,0.6291,0.7449,0.3409,0.4054,0.506,0.6388,0.7645,0.8832,0.4882,0.5848
